CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4,Toxic,EPA_Category,Toxic_zones,EPA_zones,Integrated_zones,model,logLD50_mmolkg,Toxic(Exp),EPA_category(Exp)
77-06-5,-0.849,0.221,0.779,0.428,0.289,0.213,0.07,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Hierarchical Models,1.26,0.0,4.0
1871-76-7,1.066,0.663,0.337,0.005,0.058,0.722,0.215,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.438,0.0,4.0
4702-64-1,1.019,0.907,0.093,0.012,0.015,0.272,0.702,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.229,0.0,4.0
116-52-9,0.632,0.541,0.459,0.033,0.162,0.564,0.242,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.256,0.0,4.0
302-22-7,0.734,0.916,0.084,0.005,0.031,0.475,0.489,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Hierarchical Models,1.199,0.0,4.0
488-23-3,1.556,0.889,0.111,0.005,0.02,0.4,0.575,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.679,0.0,4.0
13361-53-0,1.264,0.879,0.121,0.003,0.017,0.597,0.383,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.58,0.0,4.0
6362-79-4,1.114,0.9,0.1,0.003,0.012,0.878,0.107,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.418,0.0,4.0
79-20-9,1.558,0.686,0.314,0.01,0.071,0.675,0.244,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.942,0.0,4.0
112-33-4,1.516,0.913,0.087,0.004,0.013,0.32,0.663,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.6,0.0,4.0
534-15-6,1.593,0.841,0.159,0.005,0.027,0.493,0.475,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Hierarchical Models,1.858,0.0,4.0
27302-90-5,0.82,0.453,0.547,0.03,0.118,0.705,0.148,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.553,0.0,4.0
50776-39-1,0.615,0.471,0.529,0.013,0.093,0.74,0.154,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.269,0.0,4.0
10126-87-1,0.93,0.895,0.105,0.005,0.03,0.53,0.434,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.088,0.0,4.0
526-18-1,1.092,0.749,0.251,0.012,0.043,0.679,0.266,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.466,0.0,4.0
1982-69-0,0.68,0.283,0.717,0.019,0.237,0.665,0.078,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.486,0.0,4.0
150-84-5,1.534,0.952,0.048,0.01,0.004,0.107,0.879,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.535,0.0,4.0
6637-88-3,1.254,0.975,0.025,0.002,0.005,0.119,0.874,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.075,0.0,4.0
625-69-4,1.553,0.895,0.105,0.01,0.024,0.539,0.428,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.819,0.0,4.0
1113-04-8,0.914,0.343,0.657,0.007,0.119,0.81,0.064,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.768,0.0,4.0
100-79-8,1.373,0.806,0.194,0.018,0.061,0.595,0.326,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.724,0.0,4.0
14270-40-7,1.09,0.602,0.398,0.003,0.041,0.855,0.101,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.575,0.0,4.0
32809-16-8,0.6,0.388,0.612,0.029,0.18,0.654,0.137,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.392,0.0,4.0
60-35-5,1.601,0.666,0.334,0.019,0.093,0.608,0.28,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,2.074,0.0,4.0
10138-43-9,1.616,0.921,0.079,0.003,0.008,0.308,0.681,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.678,0.0,4.0
19089-47-5,1.476,0.839,0.161,0.01,0.034,0.731,0.225,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.834,0.0,4.0
42711-84-2,1.492,0.888,0.112,0.005,0.028,0.557,0.41,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.606,0.0,4.0
2050-46-6,1.117,0.687,0.313,0.004,0.031,0.835,0.13,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.64,0.0,4.0
105-52-2,1.348,0.916,0.084,0.012,0.012,0.498,0.478,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Hierarchical Models,1.412,0.0,4.0
14216-25-2,0.949,0.619,0.381,0.021,0.192,0.538,0.248,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.628,0.0,4.0
99-62-7,1.29,0.835,0.165,0.004,0.031,0.812,0.152,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.659,0.0,4.0
24902-02-1,0.932,0.551,0.449,0.01,0.079,0.712,0.199,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.525,0.0,4.0
3775-85-7,1.221,0.846,0.154,0.006,0.039,0.699,0.257,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.567,0.0,4.0
121-02-8,0.925,0.491,0.509,0.01,0.142,0.659,0.19,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.501,0.0,4.0
119-67-5,1.115,0.501,0.499,0.007,0.138,0.719,0.137,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.699,0.0,4.0
2905-23-9,0.977,0.445,0.555,0.004,0.078,0.864,0.053,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.551,0.0,4.0
56-85-9,1.668,0.925,0.075,0.003,0.009,0.25,0.738,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.71,0.0,4.0
16356-11-9,1.492,0.95,0.05,0.002,0.008,0.16,0.83,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.702,0.0,4.0
62973-76-6,0.676,0.392,0.608,0.033,0.155,0.676,0.137,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.489,0.0,4.0
108-80-5,1.256,0.849,0.151,0.008,0.04,0.58,0.372,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.776,0.0,4.0
4457-71-0,1.474,0.914,0.086,0.005,0.014,0.434,0.547,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.819,0.0,4.0
77-71-4,1.102,0.663,0.337,0.027,0.08,0.553,0.339,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.784,0.0,4.0
142-88-1,1.653,0.943,0.057,0.011,0.007,0.154,0.828,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.733,0.0,4.0
3615-74-5,0.631,0.324,0.676,0.01,0.107,0.769,0.114,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.431,0.0,4.0
14007-45-5,1.702,0.958,0.042,0.012,0.003,0.079,0.906,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.775,0.0,4.0
133-10-8,1.257,0.681,0.319,0.004,0.038,0.721,0.236,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.718,0.0,4.0
41905-79-7,0.964,0.807,0.193,0.006,0.046,0.501,0.447,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.417,0.0,4.0
72977-18-5,1.264,0.662,0.338,0.005,0.083,0.674,0.238,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.766,0.0,4.0
3758-54-1,0.774,0.675,0.325,0.007,0.06,0.745,0.187,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.292,0.0,4.0
312-94-7,0.967,0.575,0.425,0.01,0.08,0.688,0.222,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.595,0.0,4.0
756-79-6,0.526,0.236,0.764,0.086,0.262,0.559,0.093,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.821,0.0,4.0
80830-42-8,0.631,0.703,0.297,0.017,0.078,0.545,0.361,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.422,0.0,4.0
117-83-9,1.452,0.96,0.04,0.004,0.007,0.229,0.76,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.359,0.0,4.0
18472-87-2,-1.265,0.357,0.643,0.367,0.177,0.3,0.156,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Hierarchical Models,1.028,0.0,4.0
59-14-3,0.962,0.877,0.123,0.008,0.018,0.618,0.356,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.437,0.0,4.0
88-62-0,1.622,0.934,0.066,0.009,0.007,0.288,0.696,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.656,0.0,4.0
3547-33-9,1.179,0.852,0.148,0.012,0.025,0.579,0.384,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.651,0.0,4.0
22898-01-7,0.53,0.304,0.696,0.031,0.292,0.565,0.112,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.769,0.0,4.0
62637-93-8,0.817,0.39,0.61,0.06,0.264,0.532,0.145,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,2.064,0.0,4.0
730-98-3,0.589,0.325,0.675,0.022,0.187,0.73,0.061,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.542,0.0,4.0
108-29-2,1.485,0.867,0.133,0.004,0.018,0.562,0.416,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.944,0.0,4.0
6284-81-7,1.424,0.92,0.08,0.004,0.017,0.474,0.506,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.446,0.0,4.0
142-30-3,0.957,0.571,0.429,0.006,0.118,0.729,0.148,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.801,0.0,4.0
569-58-4,0.893,0.879,0.121,0.008,0.022,0.39,0.58,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.329,0.0,4.0
125-12-2,1.334,0.898,0.102,0.003,0.014,0.467,0.516,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.664,0.0,4.0
101-68-8,1.306,0.885,0.115,0.003,0.03,0.543,0.423,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.565,0.0,4.0
13009-99-9,0.948,0.502,0.498,0.017,0.103,0.747,0.133,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.694,0.0,4.0
95719-26-9,1.184,0.772,0.228,0.004,0.039,0.763,0.194,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.689,0.0,4.0
71771-90-9,0.612,0.343,0.657,0.018,0.123,0.765,0.094,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.47,0.0,4.0
32887-03-9,0.581,0.805,0.195,0.016,0.046,0.441,0.496,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Hierarchical Models,1.335,0.0,4.0
74039-02-4,1.321,0.976,0.024,0.002,0.004,0.13,0.864,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.217,0.0,4.0
35457-80-8,0.913,0.955,0.045,0.002,0.004,0.137,0.857,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.072,0.0,4.0
502-85-2,1.683,0.889,0.111,0.006,0.018,0.327,0.649,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.969,0.0,4.0
94-51-9,1.392,0.947,0.053,0.003,0.009,0.34,0.648,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.457,0.0,4.0
660-68-4,0.736,0.094,0.906,0.018,0.236,0.722,0.024,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,2.131,0.0,4.0
78-37-5,1.335,0.977,0.023,0.002,0.004,0.113,0.88,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.544,0.0,4.0
132-89-8,0.736,0.176,0.824,0.006,0.079,0.887,0.028,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.674,0.0,4.0
17804-35-2,0.824,0.719,0.281,0.005,0.035,0.814,0.146,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.537,0.0,4.0
21649-57-0,1.008,0.905,0.095,0.004,0.014,0.416,0.566,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.342,0.0,4.0
2440-22-4,0.705,0.478,0.522,0.016,0.075,0.719,0.19,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.647,0.0,4.0
32061-14-6,0.615,0.256,0.744,0.005,0.114,0.812,0.069,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.493,0.0,4.0
37661-08-8,0.962,0.916,0.084,0.007,0.013,0.343,0.638,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.332,0.0,4.0
55283-68-6,0.769,0.386,0.614,0.021,0.117,0.684,0.178,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.477,0.0,4.0
5837-67-2,1.401,0.961,0.039,0.003,0.007,0.208,0.781,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.404,0.0,4.0
64532-94-1,1.009,0.927,0.073,0.006,0.013,0.237,0.744,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.434,0.0,4.0
68302-57-8,0.554,0.599,0.401,0.018,0.091,0.519,0.372,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.525,0.0,4.0
80734-02-7,0.833,0.884,0.116,0.009,0.018,0.392,0.581,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.336,0.0,4.0
3385-41-9,1.653,0.943,0.057,0.011,0.007,0.154,0.828,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.837,0.0,4.0
2580-78-1,1.102,0.966,0.034,0.003,0.007,0.226,0.765,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.24,0.0,4.0
9004-64-2,1.427,0.934,0.066,0.003,0.012,0.37,0.615,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.459,0.0,4.0
106-36-5,1.772,0.954,0.046,0.005,0.009,0.133,0.854,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.949,0.0,4.0
79482-06-7,0.58,0.52,0.48,0.037,0.194,0.517,0.252,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.562,0.0,4.0
32449-92-6,1.061,0.837,0.163,0.029,0.046,0.433,0.492,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Hierarchical Models,1.784,0.0,4.0
28523-86-6,0.644,0.411,0.589,0.083,0.269,0.468,0.18,Toxic,EPA 3,InZone,InZone,InZone,Hierarchical Models,1.732,0.0,4.0
112-15-2,1.633,0.914,0.086,0.004,0.008,0.292,0.696,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.795,0.0,4.0
1616-88-2,1.111,0.404,0.596,0.018,0.17,0.645,0.167,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.965,0.0,4.0
73816-77-0,1.339,0.978,0.022,0.002,0.004,0.142,0.851,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.377,0.0,4.0
2278-50-4,0.722,0.913,0.087,0.007,0.011,0.281,0.7,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.226,0.0,4.0
35170-28-6,1.456,0.931,0.069,0.003,0.013,0.116,0.869,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.511,0.0,4.0
25841-37-6,1.609,0.889,0.111,0.012,0.016,0.415,0.558,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.919,0.0,4.0
63867-52-7,0.728,0.666,0.334,0.009,0.083,0.745,0.163,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.545,0.0,4.0
6980-18-3,1.638,0.951,0.049,0.009,0.004,0.115,0.871,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.478,0.0,4.0
27541-88-4,0.654,0.587,0.413,0.012,0.077,0.602,0.31,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.565,0.0,4.0
133-49-3,0.56,0.228,0.772,0.032,0.216,0.674,0.078,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.625,0.0,4.0
100-88-9,0.862,0.239,0.761,0.004,0.071,0.89,0.036,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.826,0.0,4.0
143-07-7,1.472,0.966,0.034,0.003,0.006,0.229,0.762,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.777,0.0,4.0
62865-36-5,0.735,0.51,0.49,0.014,0.074,0.785,0.127,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.672,0.0,4.0
16071-86-6,1.319,0.975,0.025,0.002,0.005,0.124,0.869,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.265,0.0,4.0
1137-42-4,1.153,0.733,0.267,0.003,0.047,0.701,0.248,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.785,0.0,4.0
540-18-1,1.635,0.96,0.04,0.003,0.004,0.084,0.909,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.887,0.0,4.0
23424-47-7,0.563,0.371,0.629,0.023,0.223,0.613,0.14,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.815,0.0,4.0
128-42-7,1.294,0.926,0.074,0.006,0.011,0.306,0.677,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.467,0.0,4.0
2421-28-5,0.806,0.849,0.151,0.023,0.052,0.519,0.406,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.599,0.0,4.0
105-99-7,1.642,0.945,0.055,0.011,0.008,0.155,0.826,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.698,0.0,4.0
118-03-6,1.315,0.968,0.032,0.003,0.008,0.232,0.757,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.53,0.0,4.0
85844-93-5,0.662,0.681,0.319,0.009,0.063,0.764,0.164,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.621,0.0,4.0
10143-54-1,1.457,0.929,0.071,0.004,0.015,0.416,0.565,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.925,0.0,4.0
623-84-7,1.739,0.926,0.074,0.013,0.006,0.173,0.808,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.927,0.0,4.0
532-02-5,1.262,0.875,0.125,0.004,0.014,0.85,0.133,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.824,0.0,4.0
77-99-6,1.614,0.921,0.079,0.011,0.025,0.406,0.558,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,2.022,0.0,4.0
119-79-9,1.484,0.957,0.043,0.01,0.007,0.193,0.791,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.803,0.0,4.0
3804-89-5,0.9,0.744,0.256,0.033,0.059,0.575,0.333,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.794,0.0,4.0
2432-99-7,1.226,0.875,0.125,0.011,0.015,0.792,0.182,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.863,0.0,4.0
18699-02-0,1.039,0.561,0.439,0.004,0.076,0.804,0.116,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.884,0.0,4.0
1218-34-4,0.73,0.695,0.305,0.024,0.075,0.693,0.209,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.785,0.0,4.0
29104-30-1,0.778,0.742,0.258,0.007,0.054,0.59,0.349,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.615,0.0,4.0
51934-76-0,1.213,0.965,0.035,0.002,0.004,0.104,0.89,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.324,0.0,4.0
98-08-8,1.146,0.696,0.304,0.011,0.072,0.644,0.273,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,2.011,0.0,4.0
29091-21-2,0.624,0.479,0.521,0.02,0.143,0.545,0.293,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.643,0.0,4.0
3605-31-0,1.127,0.757,0.243,0.005,0.08,0.625,0.29,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.884,0.0,4.0
144-83-2,1.11,0.88,0.12,0.003,0.012,0.88,0.104,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.802,0.0,4.0
11120-29-9,0.78,0.732,0.268,0.047,0.066,0.437,0.45,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Hierarchical Models,1.419,0.0,4.0
5165-97-9,0.873,0.213,0.787,0.004,0.065,0.906,0.026,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.888,0.0,4.0
849-99-0,1.506,0.951,0.049,0.011,0.009,0.215,0.765,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.712,0.0,4.0
10143-20-1,1.674,0.937,0.063,0.009,0.015,0.211,0.764,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.853,0.0,4.0
72490-01-8,0.755,0.587,0.413,0.008,0.091,0.642,0.259,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,1.746,0.0,4.0
138-14-7,1.019,0.843,0.157,0.006,0.042,0.465,0.488,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Hierarchical Models,1.489,0.0,4.0
6338-70-1,1.111,0.477,0.523,0.014,0.197,0.613,0.176,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,2.122,0.0,4.0
2971-90-6,0.533,0.283,0.717,0.026,0.231,0.664,0.079,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.972,0.0,4.0
3338-24-7,-0.007,0.056,0.944,0.183,0.498,0.291,0.028,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Hierarchical Models,1.988,0.0,4.0
51356-14-0,-0.347,0.09,0.91,0.398,0.355,0.202,0.045,Toxic,EPA 1,OutZone,InZone,HalfZone_B,Hierarchical Models,1.738,0.0,4.0
115-77-5,1.578,0.891,0.109,0.007,0.032,0.378,0.583,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,2.156,0.0,4.0
73926-94-0,1.353,0.975,0.025,0.002,0.004,0.118,0.876,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.505,0.0,4.0
6620-60-6,1.421,0.961,0.039,0.003,0.006,0.09,0.902,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.777,0.0,4.0
27178-16-1,1.448,0.964,0.036,0.003,0.01,0.361,0.626,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.682,0.0,4.0
7542-37-2,1.576,0.959,0.041,0.009,0.004,0.113,0.874,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.546,0.0,4.0
112-54-9,1.646,0.964,0.036,0.012,0.004,0.113,0.872,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,2.096,0.0,4.0
88402-43-1,0.726,0.602,0.398,0.012,0.111,0.617,0.259,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.962,0.0,4.0
10140-81-5,0.865,0.709,0.291,0.009,0.073,0.541,0.377,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.772,0.0,4.0
50-99-7,1.631,0.89,0.11,0.003,0.023,0.262,0.712,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,2.156,0.0,4.0
12627-38-2,0.95,0.805,0.195,0.006,0.034,0.637,0.322,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,1.912,0.0,4.0
585-86-4,1.621,0.845,0.155,0.004,0.017,0.39,0.589,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.94,0.0,4.0
112-58-3,1.361,0.87,0.13,0.01,0.013,0.598,0.378,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,2.22,0.0,4.0
27253-26-5,1.502,0.964,0.036,0.003,0.009,0.323,0.665,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.771,0.0,4.0
7786-17-6,1.086,0.909,0.091,0.005,0.014,0.464,0.517,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.837,0.0,4.0
53306-53-9,1.67,0.958,0.042,0.003,0.009,0.198,0.79,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.991,0.0,4.0
1949-45-7,1.102,0.947,0.053,0.003,0.008,0.256,0.732,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,1.783,0.0,4.0
76-13-1,1.357,0.876,0.124,0.013,0.019,0.344,0.624,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,2.361,0.0,4.0
142-18-7,1.551,0.946,0.054,0.01,0.008,0.235,0.747,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,2.285,0.0,4.0
2653-16-9,0.458,0.242,0.758,0.045,0.263,0.625,0.068,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,,1.0,
3508-98-3,1.018,0.567,0.433,0.011,0.083,0.772,0.134,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,,,
5510-99-6,0.669,0.356,0.644,0.021,0.223,0.686,0.071,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,,1.0,
2475-45-8,1.16,0.899,0.101,0.014,0.018,0.336,0.633,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,,,
39255-32-8,1.65,0.936,0.064,0.003,0.02,0.34,0.637,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Hierarchical Models,,,
108-74-7,0.755,0.174,0.826,0.038,0.383,0.524,0.055,Toxic,EPA 3,OutZone,OutZone,OutZone,Hierarchical Models,,1.0,
1307233-94-8,0.593,0.444,0.556,0.011,0.135,0.619,0.235,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Hierarchical Models,,1.0,
